Team,Team Name,Team Lng,Team Lat
BOS,Boston Celtics,-71.062228,42.366303
BRK,Brooklyn Nets,-73.974689,40.68265
NJN,Brooklyn Nets,-73.974689,40.68265
NYK,New York Knicks,-73.993611,40.750556
PHI,Philadelphia 76ers,-75.171944,39.901111
TOR,Toronto Raptors,-79.379167,43.643333
CHI,Chicago Bulls,-87.674167,41.880556
CLE,Cleveland Cavaliers,-81.688056,41.496389
DET,Detroit Pistons,-83.245556,42.696944
IND,Indiana Pacers,-86.155556,39.763889
MIL,Milwaukee Bucks,-87.916944,43.043611
ATL,Atlanta Hawks,-84.396389,33.757222
CHO,Charlotte Hornets,-80.839167,35.225
CHA,Charlotte Hornets,-80.839167,35.225
MIA,Miami Heat,-80.188056,25.781389
ORL,Orlando Magic,-81.383611,28.539167
WAS,Washington Wizards,-77.020833,38.898056
DEN,Denver Nuggets,-105.0075,39.748611
MIN,Minnesota Timberwolves,-93.276111,44.979444
OKC,Oklahoma City Thunder,-97.515,35.463333
POR,Portland Trail Blazers,-122.666667,45.531667
UTA,Utah Jazz,-111.901111,40.768333
GSW,Golden State Warriors,-122.3875,37.768056
LAC,Los Angeles Clippers,-118.267222,34.043056
PHO,Phoenix Suns,-112.071389,33.445833
SAC,Sacramento Kings,-121.518056,38.649167
DAL,Dallas Mavericks,-96.810278,32.790556
HOU,Houston Rockets,-95.362222,29.750833
MEM,Memphis Grizzlies,-90.050556,35.138333
NOP,New Orleans Pelicans,-90.081944,29.948889
NOH,New Orleans Pelicans,-90.081944,29.948889
SAS,San Antonio Spurs,-98.4375,29.426944
LAL,Los Angeles Lakers,-118.243683,34.052235
TOT,Two Other Teams,40.7560149,-73.9860166
